Music,Slowsongsorfastsongs,Dance,Folk,Country,Classicalmusic,Musical,Pop,Rock,MetalorHardrock,Punk,HiphopRap,ReggaeSka,SwingJazz,Rocknroll,Alternative,Latino,TechnoTrance,Opera,Movies,Horror,Thriller,Comedy,Romantic,Scifi,War,FantasyFairytales,Animated,Documentary,Western,Action,Alcohol,Healthyeating,Regret,Charity,Friends,Internetusage,Finances,Shoppingcentres,Brandedclothing,Entertainmentspending,Spendingonlooks,Spendingongadgets,Spendingonhealthyeating,Age,Numberofsiblings,Gender,Leftrighthanded,Education,Onlychild
5,3,2,1,2,2,1,5,5,1,1,1,1,1,3,1,1,1,1,5,4,2,5,4,4,1,5,5,3,1,2,2,4,1,2,3,few hours a day,3,4,5,3,3,1,3,20,1,female,right handed,college/bachelor degree,1
4,4,2,1,1,1,2,3,5,4,4,1,3,1,4,4,2,1,1,5,2,2,4,3,4,1,3,5,4,1,4,2,3,4,1,3,few hours a day,3,4,1,4,2,5,2,19,2,female,right handed,college/bachelor degree,1
5,5,2,2,3,4,5,3,5,3,4,1,4,3,5,5,5,1,3,5,3,4,4,2,4,2,5,5,2,2,1,2,3,4,3,3,few hours a day,2,4,1,4,3,4,2,20,2,female,right handed,secondary school,1
5,3,2,1,1,1,1,2,2,1,4,2,2,1,2,5,1,2,1,5,4,4,3,3,4,3,1,2,5,1,2,2,3,5,3,1,most of the day,2,4,3,3,4,4,1,22,1,female,right handed,college/bachelor degree,2
5,3,4,3,2,4,3,5,3,1,2,5,3,2,1,2,4,2,2,5,4,4,5,2,3,3,4,4,3,1,4,1,4,5,3,3,few hours a day,4,3,4,3,3,2,4,20,1,female,right handed,secondary school,1
5,3,2,3,2,3,3,2,5,5,3,4,3,4,4,5,3,1,3,5,5,5,5,2,3,3,4,3,3,2,4,0,2,4,2,3,few hours a day,2,3,3,3,1,4,4,20,1,male,right handed,secondary school,1
5,5,5,3,1,2,2,5,3,1,1,3,1,1,2,3,3,5,2,4,2,1,5,3,1,3,5,5,3,1,2,1,4,3,3,3,less than an hour a day,4,3,1,3,4,1,5,20,1,female,right handed,secondary school,1
5,3,3,2,1,2,2,4,5,1,2,3,2,2,3,1,2,3,2,5,4,4,5,2,3,3,4,4,3,1,3,2,2,3,1,4,few hours a day,3,4,4,4,4,3,2,19,1,male,right handed,college/bachelor degree,1
5,3,3,1,1,2,4,3,5,5,1,1,2,2,2, ,1,1,1,5,1,5,5,4,4,5,4,4,5,1,1,1,1,3,1,2,few hours a day,2,1,3,2,1,3,4,18,1,female,right handed,secondary school,1
5,3,2,5,2,2,5,3,5,2,3,2,4,4,4,4,5,1,2,5,2,1,5,5,1,3,4,4,4,1,2,2,3,4,2,3,few hours a day,4,4,4,2,3,2,4,19,3,female,right handed,secondary school,1
5,3,3,2,1,2,3,4,3,2,1,3,2,2,3,3,3,4,2,5,5,4,5,3,3,2,5,5,3,1,3,1,3,4,1,3,less than an hour a day,2,4,2,3,4,2,2,19,2,female,left handed,secondary school,1
5,3,1,1,1,4,1,2,5,1,1,1,1,2,2,5,2,1,2,5,3,4,4,3,2,5,5,5,5,1,4,0,3,5,3,4,few hours a day,2,2,1,3,1,1,2,17,1,female,right handed,primary school,1
5,3,1,2,1,4,3,3,5,4,2,3,1,1,4,3,2,1,2,5,1,5,4,3,1,4,5,3,3,1,1,1,3,5,2,3,few hours a day,4,1,1,2,3,2,3,24,10,female,right handed,college/bachelor degree,1
5,3,5,3,2,1,5,5,2,1,1,2,1,3,2,1,3,1,1,5,3,2,5,5,2,1,5,4,2,1,3,1,3,5,1,3,few hours a day,3,5,2,3,4,3,3,19,1,female,right handed,secondary school,1
5,3,2,1,1,2,3,4,5,2,5,3,4,4,4,4,1,1,1,4,1,3,5,4,1,1,5,5,3,1,4,1,1,5,3,5,most of the day,5,3,1,5,5,1,4,22,1,female,right handed,college/bachelor degree,1
1,3,2,2,3,4,3,3,5,5,5,2,4,2,3,3,2,1,2,5,5,5,5,3,3,5,4,4,5,2,4,1,5,5,1,3,few hours a day,3,3,1,3,3,5,5,18,0,male,right handed,secondary school,2
5,3,3,1,1,1,2,4,4,1,3,2,3,2,3,1,1,4,1,5,3,3,5,3,2,2,2,2,4,1,2,2,3,3,1,4,few hours a day,3,4,4,3,3,3,3,19,2,female,right handed,college/bachelor degree,1
5,3,3,3,3,2,2,4,4,2,3,3,4,3,3,1,2,1,3,5,4,2,5,5,5,2,4,4,5,1,3,1,3,4,2,2,few hours a day,1,5,2, ,2,2,5,20,1,female,right handed,secondary school,1
5,3,5,4,3,4,5,5,4,4,3,4,4,4,4,4,4,4,3,5,2,4,5,4,5,5,4,4,5,5,5,1,4,2,1,2,few hours a day,4,2,4,4,4,5,4,18,2,male,right handed,secondary school,1
5,4,3,3,2,4,2,2,4,5,2,1,4,5,4,3,4,3,2,3,1,4,4,2,3,5,4,4,5,2,5,2,3,3,1,4,few hours a day,2,3,4,4,3,3,3,18,1,male,left handed,secondary school,1
5,3,3,2,3,4,3,2,5,5,4,4,3,5,4,5,3,3,4,5,5,5,5,3,3,4,3,3,3,2,4,0,2,4,2,3,few hours a day,2,3,3,2,2,4,4,20,1,male,right handed,secondary school,1
